rank_2024,name,gics_industry,gics_sector,full_city,full_country,revenue_usd_ppp,energy_prod_score,carbon_prod_score,water_prod_score,overall_score,prev_rank,company,industry,revenue,profit_percent,ceo_pay_ratio_days,women_board_percent,women_leadership_percent,women_workforce_percent,climate_grade,sustainability_initiatives,profit_usd
78,Coloplast A/S,Health Care Equipment & Supplies,Health Care,Humlebæk,Denmark,3572733990,0.9670000000000001,0.531,0.784,C,43,Coloplast A/S,Medical equipment manufacturing,71029,0.19,43,0.33,0.09,0,C,"1.5°C, SBTi",13495.51
79,Sun Life Financial Inc,Insurance,Financials,Toronto,Canada,18600533563,0.136,0.22699999999999998,0.081,C,77,Sun Life Financial Inc,Insurance companies,549255,0.15,124,0.5,0.06,0,C,,82388.25
80,StarHub Ltd,Wireless Telecommunication Services,Communication Services,Singapore,Singapore,2848592411,0.591,0.611,0.922,C,34,StarHub Ltd,Telecom providers,50109,0.13,17,0.25,0.08,0.57,C,"1.5°C, SBTi",6514.17
81,Hewlett Packard Enterprise Co,"Technology Hardware, Storage & Peripherals",Information Technology,Spring,U.S.,2.8496e+10,0.34600000000000003,0.312,0,C,67,Hewlett Packard Enterprise Co,Computers and peripherals manufacturing,93302,0.07,,0.46,0.33,0.39,C,"1.5°C, SBTi",6531.14
82,Svenska Handelsbanken AB,Banks,Financials,Stockholm,Sweden,5798261041,0.38799999999999996,0.9079999999999999,0.5710000000000001,C,72,Svenska Handelsbanken AB,Banks,1052698,0.26,17,0.57,0.07,0,C,"1.5°C, SBTi, NZBA",273701.48
83,Nordea Bank Abp,Banks,Financials,Helsinki,Finland,21637491827,0.84,0.821,0.922,C,94,Nordea Bank Abp,Banks,3242058,0.1,35,0.5,0.04,0,C,"NZAM, NZAO, NZBA",324205.8
84,Orkla ASA,Food Products,Consumer Staples,Oslo,Norway,5436948999,0.397,0.7040000000000001,0.485,C,70,Orkla ASA,Food and beverage manufacturing,33788,0.17,17,0.45,0.23,0.03,C,"1.5°C, SBTi",5743.96
85,Telus Corp,Diversified Telecommunication Services,Communication Services,Vancouver,Canada,14588841434,0.395,0.7290000000000001,0,C,37,Telus Corp,Telecom providers,64565,0.08,338,0.43,0.26,0.23,C,"1.5°C, SBTi",5165.2
86,Henkel AG & Co KgaA,Household Products,Consumer Staples,Düsseldorf,Germany,34536409953,0.539,0.418,0.578,C,81,Henkel AG & Co KgaA,Personal products (retail chemical),58936,0.19,132,0.44,0.21,0.01,C,"1.5°C, SBTi, NZAM",11197.84
87,Prologis Inc,Equity Real Estate Investment Trusts (REITs),Real Estate,San Francisco,U.S.,9591259000,0.983,0.9940000000000001,0.995,C,,Prologis Inc,Real estate and leasing,1614690,0.03,170,0.27,0.02,0.04,C,"1.5°C, SBTi",48440.7
88,UniCredit SpA,Banks,Financials,Milan,Italy,30830958637,0.64,0.402,0,C,,UniCredit SpA,Banks,225131,0.1,60,0.42,0.1,0,C,NZBA,22513.1
89,Commerzbank AG,Banks,Financials,Frankfurt am Main,Germany,14588961672,0.32299999999999995,0.607,0,C,85,Commerzbank AG,Banks,423236,0.16,36,0.45,0.05,0,C,"SBTi, NZAM, NZBA",67717.76
90,BNP Paribas SA,Banks,Financials,Paris,France,77746629165,0.273,0.51,0,C,71,BNP Paribas SA,Banks,320421,0.13,55,0.53,0.08,0,C,"SBTi, NZAM, NZAO, NZBA",41654.73
91,Assicurazioni Generali SpA,Insurance,Financials,Trieste,Italy,1.31689e+11,0.821,0.475,0,C,,Assicurazioni Generali SpA,Insurance companies,1273258,0.25,72,0.46,0.03,0,C,NZIA,318314.5
92,Teck Resources Ltd,Metals & Mining,Materials,Vancouver,Canada,13810429602,0.655,0.769,0.433,C,78,Teck Resources Ltd,Metal and coal mining,4846,0.13,79,0.29,0.19,0.28,C,,629.98
93,Vitasoy International Holdings Ltd,Food Products,Consumer Staples,Tuen Mun,Hong Kong,1080899932,0.18,0.155,0.17600000000000002,C,27,Vitasoy International Holdings Ltd,Food and beverage manufacturing,9681,0.14,70,0.18,0.46,0.04,C,,1355.34
94,Bank of China Ltd,Banks,Financials,Beijing,China,1.53943e+11,0.08199999999999999,0.066,0.03,C,,Bank of China Ltd,Banks,100123,0.13,4,0.15,0.17,0,C,,13015.99
95,AstraZeneca PLC,Pharmaceuticals,Health Care,Cambridge,U.K.,4.4351e+10,0.9129999999999999,0.6579999999999999,0.8909999999999999,C-,97,AstraZeneca PLC,Pharmaceutical and biotech manufacturing,100380,0.15,111,0.38,0.13,0,,,15057
96,IGM Financial Inc,Capital Markets,Financials,Winnipeg,Canada,3092019285,1,0.726,0,C-,92,IGM Financial Inc,Asset management,4947231,0.17,49,0.33,0.03,0,C-,NZAM,841029.27
97,Biomérieux SA,Health Care Equipment & Supplies,Health Care,Marcy l'Étoile,France,5534430011,0.65,0.6559999999999999,0.653,C-,,Biomérieux SA,Medical equipment manufacturing,75374,0.18,18,0.44,0.06,0,C-,SBTi,13567.32
98,Manulife Financial Corp,Insurance,Financials,Toronto,Canada,49626944534,0.06,0.083,0,C-,,Manulife Financial Corp,Insurance companies,206669,0.11,155,0.58,0.06,0,C-,"1.5°C, SBTi",22733.59
99,Sino Land Co Ltd,Real Estate Management & Development,Real Estate,Tsim Sha Tsui,Hong Kong,2025449244,0.374,0.175,0.455,C-,57,Sino Land Co Ltd,Real estate,10127,0.2,50,0.08,0.5,0.12,C-,"1.5°C, SBTi",2025.4
100,Sysmex Corp,Health Care Equipment & Supplies,Health Care,Kobe,Japan,4311348734,0.326,0.679,0,C-,,Sysmex Corp,Instrumentation and other electronic manufacturing,154501,0.2,22,0.08,0.37,0,C-,SBTi,30900.2
